DateTime,source,target,value
10/2/2012 9:20,1,0,1
10/2/2012 11:35,2,0,8
10/2/2012 11:36,3,0,10
10/2/2012 16:13,3,2,6
10/2/2012 16:14,4,0,1
10/2/2012 22:16,5,0,1
11/22/2012 14:57,6,0,1
11/22/2012 15:36,7,0,1
11/22/2012 16:03,8,0,2
11/22/2012 16:26,9,0,1
11/22/2012 18:43,11,10,1
11/22/2012 19:16,11,3,3
11/22/2012 20:50,11,2,3
11/23/2012 5:58,11,0,5
1/20/2013 10:07,12,11,1
1/24/2013 10:59,13,11,1
1/24/2013 11:01,14,11,1
1/24/2013 11:41,15,11,1
2/4/2013 11:19,17,16,4
2/5/2013 12:16,18,16,4
2/5/2013 12:46,18,17,4
2/5/2013 12:48,19,16,4
2/5/2013 13:39,19,17,4
2/7/2013 21:57,19,18,4
2/11/2013 13:37,20,16,3
2/14/2013 10:02,20,17,3
3/16/2013 22:11,20,18,3
3/17/2013 11:31,20,19,4
3/17/2013 19:50,21,16,3
3/17/2013 22:39,21,17,3
3/19/2013 9:37,21,18,3
3/19/2013 15:02,21,19,3
3/25/2013 21:58,21,20,5
10/2/2012 9:20,22,16,3
10/2/2012 11:35,22,17,3
10/2/2012 11:36,22,18,3
10/2/2012 16:13,22,19,3
10/2/2012 16:14,22,20,4
10/2/2012 22:16,22,21,4
11/22/2012 14:57,23,16,3
11/22/2012 15:36,23,17,3
11/22/2012 16:03,23,18,3
11/22/2012 16:26,23,19,3
11/22/2012 18:43,23,20,4
11/22/2012 19:16,23,21,4
11/22/2012 20:50,23,22,4
11/23/2012 5:58,23,12,2
1/20/2013 10:07,23,11,9
1/24/2013 10:59,24,23,2
1/24/2013 11:01,24,11,7
1/24/2013 11:41,25,24,13
2/4/2013 11:19,25,23,1
2/5/2013 12:16,25,11,12
2/5/2013 12:46,26,24,4
2/5/2013 12:48,26,11,31
2/5/2013 13:39,26,16,1
2/7/2013 21:57,26,25,1
2/11/2013 13:37,27,11,17
2/14/2013 10:02,27,23,5
3/16/2013 22:11,27,25,5
3/17/2013 11:31,27,24,1
3/17/2013 19:50,27,26,1
3/17/2013 22:39,28,11,8
3/19/2013 9:37,28,27,1
3/19/2013 15:02,29,23,1
3/25/2013 21:58,29,27,1
10/2/2012 9:20,29,11,2
10/2/2012 11:35,30,23,1
10/2/2012 11:36,31,30,2
10/2/2012 16:13,31,11,3
10/2/2012 16:14,31,23,2
10/2/2012 22:16,31,27,1
11/22/2012 14:57,32,11,1
11/22/2012 15:36,33,11,2
11/22/2012 16:03,33,27,1
11/22/2012 16:26,34,11,3
11/22/2012 18:43,34,29,2
11/22/2012 19:16,35,11,3
11/22/2012 20:50,35,34,3
11/23/2012 5:58,35,29,2
1/20/2013 10:07,36,34,2
1/24/2013 10:59,36,35,2
1/24/2013 11:01,36,11,2
1/24/2013 11:41,36,29,1
2/4/2013 11:19,37,34,2
2/5/2013 12:16,37,35,2
2/5/2013 12:46,37,36,2
2/5/2013 12:48,37,11,2
2/5/2013 13:39,37,29,1
2/7/2013 21:57,38,34,2
2/11/2013 13:37,38,35,2
2/14/2013 10:02,38,36,2
3/16/2013 22:11,38,37,2
3/17/2013 11:31,38,11,2
3/17/2013 19:50,38,29,1
3/17/2013 22:39,39,25,1
3/19/2013 9:37,40,25,1
3/19/2013 15:02,41,24,2
3/25/2013 21:58,41,25,3
10/2/2012 9:20,42,41,2
10/2/2012 11:35,42,25,2
10/2/2012 11:36,42,24,1
10/2/2012 16:13,43,11,3
10/2/2012 16:14,43,26,1
10/2/2012 22:16,43,27,1
11/22/2012 14:57,44,28,3
11/22/2012 15:36,44,11,1
11/22/2012 16:03,45,28,2
11/22/2012 16:26,47,46,1
11/22/2012 18:43,48,47,2
11/22/2012 19:16,48,25,1
11/22/2012 20:50,48,27,1
11/23/2012 5:58,48,11,1
1/20/2013 10:07,49,26,3
1/24/2013 10:59,49,11,2
1/24/2013 11:01,50,49,1
1/24/2013 11:41,50,24,1
2/4/2013 11:19,51,49,9
2/5/2013 12:16,51,26,2
2/5/2013 12:46,51,11,2
2/5/2013 12:48,52,51,1
2/5/2013 13:39,52,39,1
2/7/2013 21:57,53,51,1
2/11/2013 13:37,54,51,2
2/14/2013 10:02,54,49,1
3/16/2013 22:11,54,26,1
3/17/2013 11:31,55,51,6
3/17/2013 19:50,55,49,12
3/17/2013 22:39,55,39,1
3/19/2013 9:37,55,54,1
3/19/2013 15:02,55,26,21
3/25/2013 21:58,55,11,19
10/2/2012 9:20,55,16,1
10/2/2012 11:35,55,25,2
10/2/2012 11:36,55,41,5
10/2/2012 16:13,55,48,4
10/2/2012 16:14,56,49,1
10/2/2012 22:16,56,55,1
11/22/2012 14:57,57,55,1
11/22/2012 15:36,57,41,1
11/22/2012 16:03,57,48,1
11/22/2012 16:26,58,55,7
11/22/2012 18:43,58,48,7
11/22/2012 19:16,58,27,6
11/22/2012 20:50,58,57,1
11/23/2012 5:58,58,11,4
1/20/2013 10:07,59,58,15
1/24/2013 10:59,59,55,5
1/24/2013 11:01,59,48,6
1/24/2013 11:41,59,57,2
2/4/2013 11:19,60,48,1
2/5/2013 12:16,60,58,4
2/5/2013 12:46,60,59,2
2/5/2013 12:48,61,48,2
2/5/2013 13:39,61,58,6
2/7/2013 21:57,61,60,2
2/11/2013 13:37,61,59,5
2/14/2013 10:02,61,57,1
3/16/2013 22:11,61,55,1
3/17/2013 11:31,62,55,9
3/17/2013 19:50,62,58,17
3/17/2013 22:39,62,59,13
3/19/2013 9:37,62,48,7
3/19/2013 15:02,62,57,2
3/25/2013 21:58,62,41,1
10/2/2012 9:20,62,61,6
10/2/2012 11:35,62,60,3
10/2/2012 11:36,63,59,5
10/2/2012 16:13,63,48,5
10/2/2012 16:14,63,62,6
10/2/2012 22:16,63,57,2
11/22/2012 14:57,63,58,4
11/22/2012 15:36,63,61,3
11/22/2012 16:03,63,60,2
11/22/2012 16:26,63,55,1
11/22/2012 18:43,64,55,5
11/22/2012 19:16,64,62,12
11/22/2012 20:50,64,48,5
11/23/2012 5:58,64,63,4
1/20/2013 10:07,64,58,10
1/24/2013 10:59,64,61,6
1/24/2013 11:01,64,60,2
1/24/2013 11:41,64,59,9
2/4/2013 11:19,64,57,1
2/5/2013 12:16,64,11,1
2/5/2013 12:46,65,63,5
2/5/2013 12:48,65,64,7
2/5/2013 13:39,65,48,3
2/7/2013 21:57,65,62,5
2/11/2013 13:37,65,58,5
2/14/2013 10:02,65,61,5
3/16/2013 22:11,65,60,2
3/17/2013 11:31,65,59,5
3/17/2013 19:50,65,57,1
3/17/2013 22:39,65,55,2
3/19/2013 9:37,66,64,3
3/19/2013 15:02,66,58,3
3/25/2013 21:58,66,59,1
10/2/2012 9:20,66,62,2
10/2/2012 11:35,66,65,2
10/2/2012 11:36,66,48,1
10/2/2012 16:13,66,63,1
10/2/2012 16:14,66,61,1
10/2/2012 22:16,66,60,1
11/22/2012 14:57,67,57,3
11/22/2012 15:36,68,25,5
11/22/2012 16:03,68,11,1
11/22/2012 16:26,68,24,1
11/22/2012 18:43,68,27,1
11/22/2012 19:16,68,48,1
11/22/2012 20:50,68,41,1
11/23/2012 5:58,69,25,6
1/20/2013 10:07,69,68,6
1/24/2013 10:59,69,11,1
1/24/2013 11:01,69,24,1
1/24/2013 11:41,69,27,2
2/4/2013 11:19,69,48,1
2/5/2013 12:16,69,41,1
2/5/2013 12:46,70,25,4
2/5/2013 12:48,70,69,4
2/5/2013 13:39,70,68,4
2/7/2013 21:57,70,11,1
2/11/2013 13:37,70,24,1
2/14/2013 10:02,70,27,1
3/16/2013 22:11,70,41,1
3/17/2013 11:31,70,58,1
3/17/2013 19:50,71,27,1
3/17/2013 22:39,71,69,2
3/19/2013 9:37,71,68,2
3/19/2013 15:02,71,70,2
3/25/2013 21:58,71,11,1
10/2/2012 9:20,71,48,1
10/2/2012 11:35,71,41,1
10/2/2012 11:36,71,25,1
10/2/2012 16:13,72,26,2
10/2/2012 16:14,72,27,1
10/2/2012 22:16,72,11,1
11/22/2012 14:57,73,48,2
11/22/2012 15:36,74,48,2
11/22/2012 16:03,74,73,3
11/22/2012 16:26,75,69,3
11/22/2012 18:43,75,68,3
